"","Country","NUTS_ID","Region name","Basic Human Needs","Foundations of Well-Being","Opportunity","Aggregated Index"
"145","HR","HR04","Kontinentalna Hrvatska",74.1590017880561,53.1231175920832,41.1888022441918,55.3435471149774
"146","HU","HU11","Budapest",80.8394737301736,56.3131821585145,55.3519027732753,63.6547301345421
"147","HU","HU12","Pest",79.9447367314385,56.5327627077901,44.3506958056246,59.3908671203522
"148","HU","HU21","Közép-Dunántúl",81.2675779272403,54.7448179959039,45.7939641250275,59.7062769567693
"149","HU","HU22","Nyugat-Dunántúl",82.5547413766224,56.3754387737828,44.9133292208934,60.3007261859247
"150","HU","HU23","Dél-Dunántúl",75.6826036929474,51.1605803023825,43.2426847721373,55.8913455620541
"151","HU","HU31","Észak-Magyarország",69.4631221945206,46.798358002316,38.7898799001649,50.9012741673903
"152","HU","HU32","Észak-Alföld",73.9091014192246,50.0364544000327,41.1632575725966,54.2017197525677
"153","HU","HU33","Dél-Alföld",75.2537021304036,52.2424667229009,44.911802925261,56.7732667898604
"154","IE","IE04","Northern and Western",84.3784002251915,77.135950944721,64.9222432796937,75.2609061532356
"155","IE","IE05","Southern",82.9950113081199,78.257421493979,65.4901010784943,75.3949388771193
"156","IE","IE06","Eastern and Midland",79.4774176711645,78.5974323205586,67.7834228330872,75.1897034104791
"157","IT","ITC1","Piemonte",79.2158917904934,52.9987399017222,45.9562145139491,58.570733718482
"158","IT","ITC2","Valle d'Aosta/Vallée d'Aoste",80.7437051219558,59.4944142618417,46.3121429750017,61.3836465977586
"159","IT","ITC3","Liguria",76.2338502737899,60.1041156556189,45.3922195368115,59.9140969262504
"160","IT","ITC4","Lombardia",82.5331741964867,49.0031243180752,49.9982109472776,59.5775142161652
"161","IT","ITF1","Abruzzo",72.3800447610228,62.3270912251435,40.5853838747775,57.6235998600332
"162","IT","ITF2","Molise",79.8315384551098,62.4974020818709,42.5002737475261,60.6301164209341
"163","IT","ITF3","Campania",69.2594108710568,52.4214124152959,38.7781317062929,52.7545399545232
"164","IT","ITF4","Puglia",76.2658396076747,56.4801811456208,35.9311966194456,54.9704847665228
"165","IT","ITF5","Basilicata",75.7488224883805,62.2689807183046,37.1385456679666,57.1969012985554
"166","IT","ITF6","Calabria",76.0063075050632,58.0884622068078,34.1679152330817,54.6863756947951
"167","IT","ITG1","Sicilia",72.3810534950233,56.848329412687,36.8835647282189,54.3693512835781
"168","IT","ITG2","Sardegna",77.6126673401519,62.1585599324726,41.0289438680589,59.2861971204652
"169","IT","ITH1","Prov. Autonoma di Bolzano/Bozen",84.52977078886,62.0670549382666,49.9573445087478,64.7505772576112
"170","IT","ITH2","Provincia Autonoma di Trento",83.5283473695891,64.815627581739,52.8780309249585,66.4873242768002
"171","IT","ITH3","Veneto",82.8189809207508,53.9390117145768,48.3772978780311,60.8409923371783
"172","IT","ITH4","Friuli-Venezia Giulia",81.4802744599782,60.872045253164,49.7765260787008,63.3825339576726
"173","IT","ITH5","Emilia-Romagna",82.0559803529954,58.5357653518043,52.627046073216,63.8070398692826
"174","IT","ITI1","Toscana",79.1579480454416,62.1395493403281,49.8371269931567,63.1467620948981
"175","IT","ITI2","Umbria",77.0557024870936,64.4514680129716,46.5984384712936,62.0555829516338
"176","IT","ITI3","Marche",76.6329731451236,64.3441099936232,45.8272499994817,61.5967905750961
"177","IT","ITI4","Lazio",76.2786057901542,59.2921892603204,48.3083136445075,60.7585058742228
"178","LT","LT01","Sostinės regionas",74.1194280260636,68.2010768033255,58.0136710898193,66.6091518918445
"179","LT","LT02","Vidurio ir vakarų Lietuvos regionas",76.2959082127943,64.6185079749443,52.117215192226,63.9602306448057
"180","LU","LU","Luxembourg",84.1129209446539,69.2759869838074,70.787096551399,74.5807044438262
"181","LV","LV","Latvija",73.6600220996732,65.8633137251342,50.5476159500196,62.9792915502279
"182","MT","MT","Malta",86.9780664815662,58.3829167678334,58.2506802429811,67.236107848673
"183","NL","NL11","Groningen",86.622745045992,75.9545959471258,76.4923286335354,79.6158648012418
"184","NL","NL12","Friesland",86.7945176750815,76.0582604339953,72.1813540163814,78.2249283939799
"185","NL","NL13","Drenthe",86.5703155478213,74.9415712000714,70.4666266354139,77.1799572185505
"186","NL","NL21","Overijssel",87.1157945086194,74.610583378217,74.6302062165007,78.6781041157217
"187","NL","NL22","Gelderland",86.7888096655455,73.8530634455358,76.4089802938451,78.9198576216797
"188","NL","NL23","Flevoland",87.1908801142758,74.9344656228018,75.2511807161352,79.0251014633221
"189","NL","NL31","Utrecht",86.1366507213477,76.1499182599066,80.8980634122789,81.0102627875224
"190","NL","NL32","Noord-Holland",85.8934387551358,75.4122383475618,79.2517310743469,80.1277855392089
"191","NL","NL33","Zuid-Holland",86.2840968708876,73.8568063772354,77.4052479842425,79.0969916550414
"192","NL","NL34","Zeeland",85.7790708344256,72.159201238927,71.206635060853,76.2405984428901
